disasterNumber,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate,fyDeclared,incidentType,declarationTitle,fipsStateCode,fipsCountyCode,date,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment,id
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-13,063,Global stance,believer,male,not aggressive,1.4238503433333334,-0.08384717663611685,"907774983761362944,907804126007795712,907939490517344256,907954013127053312,907989950104326144,908000007260962816,908002829159337984,908009916119609344,908015282760818688,908066349280309248,908067596267868160,908114571877015552"
5197,MT,FM,2017-08-17,2017-08-17,2017-09-16,2017,Fire,LOLO PEAK FIRE,30,063,2017-09-14,063,Global stance,believer,male,aggressive,-0.10372881874999998,-0.21777614702937148,"908148630980382720,908168560966553600,908187619321933824,908284424713850880,908343052636475392,908381912808529920,908416381133127680,908426237571366912,908427727367159808,908430491333812224,908442073014996992,908451668387356672,908460894417489920,908465069826105344,908467152012943360,908472162821996544"
5063,WA,FM,2014-07-19,2014-07-19,2014-07-22,2014,Fire,WATERMELON HILL FIRE,53,063,2014-07-20,063,Weather Extremes,believer,male,not aggressive,-3.1703074,0.0726871253093083,490833424538931200
5063,WA,FM,2014-07-19,2014-07-19,2014-07-22,2014,Fire,WATERMELON HILL FIRE,53,063,2014-07-22,063,Seriousness of Gas Emissions,believer,male,aggressive,1.7149761,-0.3210219529867171,491573140360024064
5047,MT,FM,2013-08-19,2013-08-18,2013-08-24,2013,Fire,LOLO CREEK FIRE COMPLEX,30,063,2013-08-21,063,Undefined / One Word Hashtags,denier,female,aggressive,-0.03646113,0.0848339904308319,370266481612701696
5047,MT,FM,2013-08-19,2013-08-18,2013-08-24,2013,Fire,LOLO CREEK FIRE COMPLEX,30,063,2013-08-22,063,Ideological Positions on Global Warming,denier,male,aggressive,0.37277606,-0.3539879318475723,370349380366532608
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-18,065,Weather Extremes,neutral,male,not aggressive,11.1989,-0.0947585265159606,799757703589535744
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-19,065,Importance of Human Intervantion,neutral,male,aggressive,0.23030026,0.04995496960481007,"799800162071609344,799829496694120448,800082446830080000"
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-21,065,Weather Extremes,believer,male,aggressive,-2.8279178000000003,0.3098411931117376,"800541994539847680,800738875740037120,800845874394005504"
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-22,065,Weather Extremes,neutral,male,not aggressive,-0.049845616499999995,0.2754384201125665,"800907176218742784,801120271696424960"
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-23,065,Donald Trump versus Science,believer,male,not aggressive,0.17188527,-0.5413117230176926,801302662230712320
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-24,065,Impact of Resource Overconsumption,believer,male,not aggressive,1.8385774,-0.43826752134874614,"801867721843429376,801877794644865024"
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-25,065,Weather Extremes,neutral,female,aggressive,0.8301493000000001,-0.3403906320095062,802058194830770176
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-26,065,Weather Extremes,neutral,male,aggressive,-0.68445575,0.1971428107976913,802631724068958208
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-27,065,Undefined / One Word Hashtags,believer,male,not aggressive,-0.024608926666666624,-0.05660466951529188,"802700341817049088,802801220981178368,802899882562330624,802964110488965120,802965736603971584,803020848349282304"
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-28,065,Weather Extremes,believer,male,not aggressive,-1.9415952,0.0045122112274169,803301275739758592
5160,TN,FM,2016-11-11,2016-11-11,2016-11-29,2017,Fire,SMITH MOUNTAIN FIRE COMPLEX,47,065,2016-11-29,065,Ideological Positions on Global Warming,denier,male,aggressive,-0.031543149999999964,-0.16565595910549166,"803456671838257152,803695837654044672"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-25,065,Politics,believer,male,not aggressive,1.6690451461538465,-0.2585124321054468,"912137394253697024,912140957491040257,912158338950950912,912161969620373504,912250705372680192,912325752044920832,912333111517696001,912336678412357633,912337453171695617,912337690204311552,912362222885773314,912392706390843392,912392857616498689"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-26,065,Global stance,believer,male,aggressive,2.0899118142857143,-0.01716974785150732,"912492575604527104,912501066905694208,912640173975928832,912664035505586176,912668166211424258,912702355941945344,912710635019952128,912719787549061120,912722226012725249,912749318351683584,912759502654574594,912805482775171072,912807845074219008,912821055907037184"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-27,065,Importance of Human Intervantion,believer,male,not aggressive,1.1381108083333331,0.05267235940827265,"912864130138226689,912866084314791937,913021798865883138,913068659542773760,913068781060214785,913087650411802626,913092277379010560,913092319817080832,913097856218812416,913165670895861760,913191217218822145,913191243462537216"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-28,065,Global stance,believer,male,not aggressive,2.4000088650000007,0.11220417700905087,"913218808470319104,913234861179228160,913373771372916742,913386923032547328,913387471840432130,913403945736982528,913431023282769920,913456877660278786,913457518969360384,913467700164255744,913474170498965504,913486739347525632,913492202608881664,913503355485405184,913503661397028864,913509760627961856"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-29,065,Global stance,believer,male,not aggressive,1.4396684511111113,0.09610371833604864,"913582413531422721,913764119240757249,913778261460533248,913781077914787841,913813254702604288,913870485489774593,913896735470116864,913903393395167232,913910026812706818"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-09-30,065,Weather Extremes,believer,female,aggressive,0.3136190643157895,-0.4794611305334541,"913923133244977152,913973616349388801,913975393278930944,914047047371653120,914056481036632064,914071351492833280,914075151708377088,914077392708276224,914087033903206400,914108635705376773,914124244363235328,914136042197762048,914137835195772928,914165539273977856,914207356715663361,914217353453457410,914219410457452544,914226817837535233,914269665374982144"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-10-01,065,Undefined / One Word Hashtags,believer,male,aggressive,-1.66153104125,0.151003306718977,"914280912820555776,914293721297960960,914302138250956800,914490350307246080,914527621991534593,914531943294803968,914536444416241664,914536569003900928,914550894355558400,914573593383784448,914590334100762625,914638049258156032,914638617406001152,914639414915190786,914640178546913280,914640760124973056"
5213,CA,FM,2017-09-26,2017-09-25,2017-10-02,2017,Fire,CANYON FIRE,06,065,2017-10-02,065,Ideological Positions on Global Warming,believer,male,not aggressive,-0.37826312527166667,-0.2230361656010151,"914841107598532609,914851183625478145,914866415592714241,914869963407597570,914903531034894336,914919162455130112,914923059269824512,914934995814293504,914946744974225408,914970278035300353,914974827210932225,914980822003761153"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-06,065,Weather Extremes,believer,female,not aggressive,-1.580386,-0.2936720418373744,860708103397949440
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-07,065,Global stance,believer,male,aggressive,-2.9380887,-0.42812664806842804,"861096909007704064,861352385528115200"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-11,065,Importance of Human Intervantion,denier,male,not aggressive,1.6031710000000001,-0.2779091459751129,"862665439821705216,862816499542761472"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-13,065,Weather Extremes,denier,male,not aggressive,-1.0073699,-0.4363496039867401,863313198216126464
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-14,065,Importance of Human Intervantion,denier,male,not aggressive,-2.29787205,-0.2714476779043674,"863827407496658944,863827600543694848,863878312690569216,863900092037611520"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-15,065,Ideological Positions on Global Warming,denier,male,not aggressive,-4.0924807,0.5749789033651351,863936393289973760
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-16,065,Weather Extremes,neutral,male,aggressive,1.6883462333333334,-0.24751389579301997,"864495800411451392,864581894561837056,864626667066605568"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-17,065,Weather Extremes,believer,male,not aggressive,-3.702748,-0.3208753106117248,864671026637975552
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-19,065,Weather Extremes,neutral,male,not aggressive,-0.10465006999999998,-0.2607375753839811,"865513090787323904,865640983966359552"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-21,065,Weather Extremes,denier,male,not aggressive,2.3464768,-0.0808747559785842,866323111981051904
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-23,065,Weather Extremes,neutral,male,not aggressive,1.1609178,-0.4144698146224021,"866824907513929728,866988152942198784"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-24,065,Impact of Resource Overconsumption,denier,male,aggressive,4.016552,0.0014723206996917,867510415562948608
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-25,065,Donald Trump versus Science,believer,female,not aggressive,0.478111075,-0.0303873077750206,"867550202550517760,867637012974583808"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-26,065,Significance of Pollution Awareness Events,believer,male,not aggressive,-1.1527267,0.0800988271474838,868103420661690368
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-27,065,Impact of Resource Overconsumption,neutral,male,not aggressive,-1.3514086,-0.176154763674736,868581008722886656
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-05-31,065,Weather Extremes,believer,male,aggressive,-0.07875893111111111,-0.059645891994498795,"869906237231579136,869909430573334528,869919119763795968,869919933093875712,869979820402147328,870003096499372032,870020966092607488,870022182029545472,870055671122845696"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-01,065,Weather Extremes,neutral,male,not aggressive,-0.4588719785714286,-0.07520734847727273,"870071393622380544,870164800466071552,870313079535525888,870355804590919680,870371132775350272,870371381090725888,870375479374733312"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-02,065,Weather Extremes,believer,male,not aggressive,0.4448659095238095,-0.07089269771639002,"870431372820742144,870433059530612736,870439052045991936,870450132126277632,870453836636467200,870461022347304960,870468731679502336,870626718654115840,870634819977457664,870652652475908096,870672766269345792,870718101846859776,870732565476392960,870751864999915520,870752555004903424,870753402740817920,870756275654500352,870763424556302336,870764473623224320,870780157837152256,870787621257072640"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-03,065,Importance of Human Intervantion,believer,male,aggressive,1.493645862857143,-0.06148678400246686,"870795771385225216,870796257840607232,870805993202077696,870806375206723584,870812712309338112,870814547271012352,870824161861619712,870831629241012224,870835233389592576,870845650023456768,870857594205749248,870860397544218624,870869578074566656,870924749962174464,870939199586930688,870982244109701120,870989017202012160,871003694736846848,871017716437602304,871024142597804032,871027687078281216,871029792971161600,871040394397716480,871044404118728704,871053735518244864,871069497376915456,871080483915837440,871082937915133952,871096815185141760,871100721059516416,871110508815892480,871119246356398080,871123619862036480,871132769069518848,871134009643982848"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-04,065,Global stance,believer,male,not aggressive,2.668717781818182,-0.12965830244643628,"871164227469271040,871168102725177344,871173985916014592,871224406919397376,871256869351735296,871337972397953024,871351266181619712,871383269475983360,871396637427421184,871435603648192512,871448036366364672"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-05,065,Impact of Resource Overconsumption,believer,male,aggressive,1.4947504111111112,-0.14227298389372198,"871756752806707200,871764837143105536,871796320801099776,871821031563866112,871828400423321600,871828784265084928,871832575311990784,871844123468337152,871875071266230272"
5181,GA,FM,2017-05-08,2017-05-06,2017-07-10,2017,Fire,WEST MIMS FIRE,13,065,2017-06-06,065,Undefined / One Word Hashtags,believer,male,not aggressive,-0.5350563707692308,0.0293511767937587,"871903619926372352,871904089277427712,871907805661364224,871910003602472960,871918663183605760,871919648232452096,871926892655509504,872110268909735936,872111859867975680,872139383977201664,872171865669648384,872190829334540288,872191484509904896"
